p x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 x25 x26 x27 x28 x29 x30 x31 x32 x33 x34 x35 x36 x37 x38 x39 x40 x41 x42 x43 x44 x45 x46 x47 x48 x50 x51 x52 x53 x54 x55 x56 x57 x58 x59 x60 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y13 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 y25 y26 y27 y28 y29 y30 y31 y32 y33 y34 y35 y36 y37 y38 y39 y41 y42 y43 y44 y45 y46 y47 y48 y49 y50 y51
2000 1756.7 5.6 0.7 112593 307760 201.9 0 0 1 2422371 1486.5 1090.9 747 204 127592 3686 4011.9 3054.9 2319.07 1110.6 41.93 369.26 87.14 47.33 347.1 127.3 104.6 21.4 638.8 3686 22654 5919 1908 1851 2174.9 11465.1 865.3 1394.7 7072.5 18247 629.1 758.8 1162 679 202.3 2112 108 69.3 13.08 67 139 0.1 586.7 3271.2 151.9 71.3 12503.6 9142.3 15212.1 2397111 2039.7 1076.4 843 204 119346 3973 4009.3 3039.5 2319.51 1172.97 44.18 407.68 96.34 35.52 325.3 120.9 104.3 21 615.3 3973 20998 5341 1673 1676 2157.2 8456.8 271.8 2025.7 11939.9 22300 653.5 762 1595 578 261.2 1300.5 104.4 78.8 13.08 66.5 152 0.2 452.3 2488.6 151.9 71.3 12503.6 9065.2 15212.1
2001 1756.7 5.6 0.7 768219 858313 288.73 0 0 1 2397111 2039.7 1076.4 843 204 119346 3973 4009.3 3039.5 2319.51 1172.97 44.18 407.68 96.34 35.52 325.3 120.9 104.3 21 615.3 3973 20998 5341 1673 1676 2157.2 8456.8 271.8 2025.7 11939.9 22300 653.5 762 1595 578 261.2 1300.5 104.4 78.8 13.08 66.5 152 0.2 452.3 2488.6 151.9 71.3 12503.6 9065.2 15212.1 2374461 2597.4 1091.8 1010 368 113652 4227 4009 3040 2350.32 1211.45 48.69 511.78 86.94 30.68 348.9 121 102.7 21.5 586.3 4227 19711 4922 1538 1595 2199.1 7630.6 320.4 1755.1 14451 23677.4 655.9 763.5 1908 500.3 194.4 1240 103 64.1 13.08 67.6 152.9 2.1 558.9 2743.8 151.9 71.3 12503.6 9201.3 15212.1
2002 2625 30.4 3.7 1100580 1029129 322.16 0 1 1 2374461 2597.4 1091.8 1010 368 113652 4227 4009 3040 2350.32 1211.45 48.69 511.78 86.94 30.68 348.9 121 102.7 21.5 586.3 4227 19711 4922 1538 1595 2199.1 7630.6 320.4 1755.1 14451 23677.4 655.9 763.5 1908 500.3 194.4 1240 103 64.1 13.08 67.6 152.9 2.1 558.9 2743.8 151.9 71.3 12503.6 9201.3 15212.1 2353532 3391.2 1065.9 819 708 92380 4181 4004.4 3037.1 2327.8 1124.15 49.89 437.82 54.89 39.06 430.6 141.9 102.6 22 532.4 3904 18722 4473 1352 1467 2370.9 12333.6 757.6 941.6 9058.4 29419.4 691.7 766.8 2340 616.9 229.1 1843.1 221.4 70.3 13.29 56.3 139.1 2.9 655.1 3462.3 151.9 71.3 12503.6 9385.2 15212.1
2003 2745.6 25.3 2.3 769610 1587766 226.2 0 1 1 2353532 3391.2 1065.9 819 708 92380 4181 4004.4 3037.1 2327.8 1124.15 49.89 437.82 54.89 39.06 430.6 141.9 102.6 22 532.4 3904 18722 4473 1352 1467 2370.9 12333.6 757.6 941.6 9058.4 29419.4 691.7 766.8 2340 616.9 229.1 1843.1 221.4 70.3 13.29 56.3 139.1 2.9 655.1 3462.3 151.9 71.3 12503.6 9385.2 15212.1 2334049 4143 1059.6 695 466 80336 4204 4000.5 3037.7 2314.2 1236.89 55.69 496.92 45.59 29.29 402.7 127.3 98.5 21.4 458.1 4204 16883 4009 1136 1340 2070.6 11770.3 599.8 928.4 11463.9 29762.6 637.9 725.7 2968 433.9 199.9 1038.8 203 36.4 14.73 50.9 132 2.2 609.9 2828.7 151.9 71.3 12503.6 9134 15212.1
2004 2854.9 11.7 0.2 1278105 1914158 296 0 1 1 2334049 4143 1059.6 695 466 80336 4204 4000.5 3037.7 2314.2 1236.89 55.69 496.92 45.59 29.29 402.7 127.3 98.5 21.4 458.1 4204 16883 4009 1136 1340 2070.6 11770.3 599.8 928.4 11463.9 29762.6 637.9 725.7 2968 433.9 199.9 1038.8 203 36.4 14.73 50.9 132 2.2 609.9 2828.7 151.9 71.3 12503.6 9134 15212.1 2313648 5488.6 1055.5 640 638 65345 4081 3998.8 3035 2207.1 1180.71 54.93 522.9 47.85 21.81 437.4 110.1 97.5 22.2 388.5 4081 14690 3412 920 1138 2457.6 11668.5 684.4 927.9 12744.5 32394 668.6 618.2 3809 403.2 193.6 1052.6 192 23.5 14.91 40.8 117.9 1.4 528.1 2258 151.9 71.3 12503.6 9099.1 15212.1
2005 5932.7 20.7 7.6 1834826 3154180 366 0 1 1 2313648 5488.6 1055.5 640 638 65345 4081 3998.8 3035 2207.1 1180.71 54.93 522.9 47.85 21.81 437.4 110.1 97.5 22.2 388.5 4081 14690 3412 920 1138 2457.6 11668.5 684.4 927.9 12744.5 32394 668.6 618.2 3809 403.2 193.6 1052.6 192 23.5 14.91 40.8 117.9 1.4 528.1 2258 151.9 71.3 12503.6 9099.1 15212.1 2294616 7020.2 1057.2 621 587 52969 3904 4002.7 3031.6 2229 1172.78 53.01 471.1 39.46 33.08 452.9 147.64 97.9 23.5 366.1 3904 12916 2997 738 998 3192.5 11168.9 722.1 589.2 9221.4 36823.9 684.1 619.5 4464 269.7 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 151.9 71.3 12503.6 9379.6 15212.1
2006 65300 20.7 7.6 1834826 3154180 366 0 1 1 2294616 7020.2 1057.2 621 587 52969 3904 4002.7 3031.6 2229 1172.78 53.01 471.1 39.46 33.08 452.9 147.64 97.9 23.5 366.1 3904 12916 2997 738 998 3192.5 11168.9 722.1 589.2 9221.4 36823.9 684.1 619.5 4464 269.7 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 151.9 71.3 12503.6 9379.6 15212.1 2280406 8530.3 1062 584 587 52969 3904 3994.7 3033.4 2198.8 1238.11 45.37 526.84 46.06 55.63 395.5 135.01 98.4 24.6 361 3904 11955 2997 738 998 3567.4 12065 1574.2 836.6 12397 55272.2 646 641.5 5597 234.5 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 151.9 71.3 12503.6 9697.8 15212.1
2007 94200 20.7 7.6 1834826 3154180 366 0 1 1 2280406 8530.3 1062 584 587 52969 3904 3994.7 3033.4 2198.8 1238.11 45.37 526.84 46.06 55.63 395.5 135.01 98.4 24.6 361 3904 11955 2997 738 998 3567.4 12065 1574.2 836.6 12397 55272.2 646 641.5 5597 234.5 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 151.9 71.3 12503.6 9697.8 15212.1 2270000 10896.2 1075.1 584 587 52969 3904 3994.7 3026.6 2356.77 1357.22 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 350.9 3904 11955 2997 738 998 3708.7 11735.4 2336 1502.1 24485 69020.5 638.8 648.4 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 143.6 78.5 14061.3 10003.2 15282.1
2008 94800 20.7 7.6 1834826 3154180 366 0 1 1 2270000 10896.2 1075.1 584 587 52969 3904 3994.7 3026.6 2356.77 1357.22 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 350.9 3904 11955 2997 738 998 3708.7 11735.4 2336 1502.1 24485 69020.5 638.8 648.4 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 143.6 78.5 14061.3 10003.2 15282.1 2261600 12376 1042.4 584 587 52969 3904 3994.7 3026.6 2443.7 1390.9 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 358.2 3904 11955 2997 738 998 3678 12617 2336 1502.1 24485 75261.2 664.4 665.4 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 134.3 75.1 13027.4 9929.8 14634.8
2009 132300 20.7 7.6 1834826 3154180 366 1 0 0 2261600 12376 1042.4 584 587 52969 3904 3994.7 3026.6 2443.7 1390.9 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 358.2 3904 11955 2997 738 998 3678 12617 2336 1502.1 24485 75261.2 664.4 665.4 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 134.3 75.1 13027.4 9929.8 14634.8 2334800 13582.6 1038.8 584 587 52969 3904 3994.7 3026.6 2336.5 1085.8 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 367.6 3904 11955 2997 738 998 2396 6827 2336 1502.1 24485 69304.8 673.5 683.3 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 306.6 77.3 12788.3 10078.8 15614.5
2010 152200 20.7 7.6 1834826 3154180 366 0 1 1 2334800 13582.6 1038.8 584 587 52969 3904 3994.7 3026.6 2336.5 1085.8 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 367.6 3904 11955 2997 738 998 2396 6827 2336 1502.1 24485 69304.8 673.5 683.3 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 306.6 77.3 12788.3 10078.8 15614.5 2331500 1586.6 1058 584 587 52969 3904 3994.7 3026.6 2473.5 1313.1 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 386.2 3904 11955 2997 738 998 3792 1265.1 2336 1502.1 24485 118126.3 725.9 708.1 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 306.6 72.2 9704.8 9767.7 12061.4
2011 152200 20.7 7.6 1834826 3154180 366 0 1 1 2331500 1586.6 1058 584 587 52969 3904 3994.7 3026.6 2473.5 1313.1 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 386.2 3904 11955 2997 738 998 3792 1265.1 2336 1502.1 24485 118126.3 725.9 708.1 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 306.6 72.2 9704.8 9767.7 12061.4 2331500 1586.6 1058 584 587 52969 3904 3994.7 3026.6 2473.5 1313.1 25.38 648.65 57.17 89.2 459.45 97.25 99.66 23.03 386.2 3904 11955 2997 738 998 3792 1265.1 2336 1502.1 24485 118126.3 725.9 708.1 5597 319.6 162.6 566.8 170.5 24.5 13.26 33.5 106.4 5.7 582.7 1824.4 306.6 72.2 9704.8 9767.7 12061.4
